latitude,longitude,High_fishing_ground
-69,13,1.0
-69,29,1.0
-69,33,1.0
-69,39,1.0
-69,41,1.0
-67,41,1.0
-67,47,1.0
-67,49,1.0
-67,57,1.0
-67,61,1.0
-67,63,1.0
-67,65,1.0
-67,69,1.0
-67,71,1.0
-67,75,1.0
-65,-43,1.0
-65,41,1.0
-65,43,1.0
-65,53,1.0
-65,55,1.0
-65,57,1.0
-65,63,1.0
-65,93,1.0
-65,103,1.0
-65,105,1.0
-65,107,1.0
-65,109,1.0
-65,111,1.0
-65,113,1.0
-65,115,1.0
-65,117,1.0
-65,119,1.0
-65,121,1.0
-65,123,1.0
-65,125,1.0
-65,127,1.0
-65,129,1.0
-65,131,1.0
-65,133,1.0
-65,135,1.0
-65,137,1.0
-65,139,1.0
-65,141,1.0
-65,147,1.0
-63,-53,1.0
-63,-49,1.0
-63,-45,1.0
-63,-31,1.0
-63,-15,1.0
-63,93,1.0
-63,95,1.0
-63,101,1.0
-63,103,1.0
-63,105,1.0
-63,107,1.0
-63,127,1.0
-63,133,1.0
-61,-53,1.0
-61,-51,1.0
-61,-49,1.0
-61,-47,1.0
-61,-45,1.0
-61,-43,1.0
-61,-41,1.0
-61,-39,1.0
-61,-31,1.0
-61,43,1.0
-61,45,1.0
-61,47,1.0
-59,-49,1.0
-59,-47,1.0
-59,-45,1.0
-59,-43,1.0
-59,-41,1.0
-59,-35,1.0
-57,-49,1.0
-55,-45,1.0
-55,-41,1.0
-55,-39,1.0
-55,-37,1.0
-55,-35,1.0
-55,-27,1.0
-55,35,1.0
-55,37,1.0
-53,-45,1.0
-53,-43,1.0
-53,-41,1.0
-53,-39,1.0
-53,-37,1.0
-53,-35,1.0
-53,37,1.0
