latitude,longitude,label,Protection_status
-61.0,165.0,2.0,Ross_protected
-61.0,167.0,0.0,Ross_protected
-65.0,161.0,1.0,Ross_protected
-65.0,163.0,1.0,Ross_protected
-65.0,165.0,3.0,Ross_protected
-65.0,167.0,1.0,Ross_protected
-65.0,169.0,3.0,Ross_protected
-65.0,171.0,1.0,Ross_protected
-65.0,173.0,1.0,Ross_protected
-67.0,-179.0,1.0,Ross_protected
-67.0,161.0,2.0,Ross_protected
-67.0,163.0,3.0,Ross_protected
-67.0,167.0,1.0,Ross_protected
-67.0,169.0,1.0,Ross_protected
-67.0,171.0,0.0,Ross_protected
-67.0,173.0,1.0,Ross_protected
-67.0,179.0,1.0,Ross_protected
-69.0,-179.0,3.0,Ross_protected
-69.0,161.0,2.0,Ross_protected
-69.0,163.0,1.0,Ross_protected
-69.0,165.0,1.0,Ross_protected
-69.0,167.0,3.0,Ross_protected
-69.0,169.0,1.0,Ross_protected
-69.0,171.0,1.0,Ross_protected
-69.0,173.0,1.0,Ross_protected
-69.0,179.0,1.0,Ross_protected
-71.0,171.0,3.0,Ross_protected
-71.0,173.0,3.0,Ross_protected
-73.0,-169.0,3.0,Ross_protected
-73.0,-167.0,3.0,Ross_protected
-73.0,-165.0,1.0,Ross_protected
-73.0,-163.0,1.0,Ross_protected
-73.0,-161.0,1.0,Ross_protected
-73.0,-159.0,1.0,Ross_protected
-73.0,-157.0,1.0,Ross_protected
-73.0,-155.0,1.0,Ross_protected
-73.0,-153.0,1.0,Ross_protected
-73.0,-151.0,1.0,Ross_protected
-73.0,171.0,1.0,Ross_protected
-73.0,173.0,3.0,Ross_protected
-75.0,-179.0,1.0,Ross_protected
-75.0,-177.0,3.0,Ross_protected
-75.0,-175.0,1.0,Ross_protected
-75.0,-173.0,1.0,Ross_protected
-75.0,-171.0,3.0,Ross_protected
-75.0,-169.0,0.0,Ross_protected
-75.0,-167.0,0.0,Ross_protected
-75.0,-165.0,2.0,Ross_protected
-75.0,-163.0,2.0,Ross_protected
-75.0,-161.0,0.0,Ross_protected
-75.0,-159.0,3.0,Ross_protected
-75.0,-157.0,3.0,Ross_protected
-75.0,-155.0,0.0,Ross_protected
-75.0,-153.0,2.0,Ross_protected
-75.0,-151.0,2.0,Ross_protected
-75.0,169.0,2.0,Ross_protected
-75.0,171.0,3.0,Ross_protected
-75.0,173.0,3.0,Ross_protected
-75.0,175.0,3.0,Ross_protected
-75.0,177.0,3.0,Ross_protected
