latitude,longitude,krill_greenweight_kg,krill_catch_density,krill_greenweight_kg_log,krill_catch_density_log
-69,-179,,,,
-69,-177,,,,
-69,-175,,,,
-69,-173,,,,
-69,-171,,,,
-69,-169,,,,
-69,-167,,,,
-69,-165,,,,
-69,-163,,,,
-69,-161,,,,
-69,-159,,,,
-69,-157,,,,
-69,-155,,,,
-69,-153,,,,
-69,-151,,,,
-69,-149,,,,
-69,-147,,,,
-69,-145,,,,
-69,-143,,,,
-69,-141,,,,
-69,-139,,,,
-69,-137,,,,
-69,-135,,,,
-69,-133,,,,
-69,-131,,,,
-69,-129,,,,
-69,-127,,,,
-69,-125,,,,
-69,-123,,,,
-69,-121,,,,
-69,-119,,,,
-69,-117,,,,
-69,-115,,,,
-69,-113,,,,
-69,-111,,,,
-69,-109,,,,
-69,-107,,,,
-69,-105,,,,
-69,-103,,,,
-69,-101,,,,
-69,-99,,,,
-69,-97,,,,
-69,-95,,,,
-69,-93,,,,
-69,-91,,,,
-69,-89,,,,
-69,-87,,,,
-69,-85,,,,
-69,-83,,,,
-69,-81,,,,
-69,-79,,,,
-69,-77,,,,
-69,-75,,,,
-69,-73,,,,
-69,-71,,,,
-69,-69,,,,
-69,-67,,,,
-69,-65,,,,
-69,-63,,,,
-69,-61,,,,
-69,-59,,,,
-69,-57,,,,
-69,-55,,,,
-69,-53,,,,
-69,-51,,,,
-69,-49,,,,
-69,-47,,,,
-69,-45,,,,
-69,-43,,,,
-69,-41,,,,
-69,-39,,,,
-69,-37,,,,
-69,-35,,,,
-69,-33,,,,
-69,-31,,,,
-69,-29,,,,
-69,-27,,,,
-69,-25,,,,
-69,-23,,,,
-69,-21,,,,
-69,-19,,,,
-69,-17,,,,
-69,-15,,,,
-69,-13,,,,
-69,-11,,,,
-69,-9,,,,
-69,-7,,,,
-69,-5,,,,
-69,-3,,,,
-69,-1,,,,
-69,1,,,,
-69,3,,,,
-69,5,1600.0,25.356222233944713,3.2043913319193,1.4208831608336479
-69,7,0.264,0.004183776668600879,0.10174707394636621,0.0018132007465349175
-69,9,0.158,0.0025039269456020407,0.06370855939141737,0.0010860824866991432
-69,11,,,,
-69,13,36200.0,573.6845280429992,4.558720567452599,2.75942950498823
-69,15,,,,
-69,17,,,,
-69,19,,,,
-69,21,,,,
-69,23,,,,
-69,25,,,,
-69,27,,,,
-69,29,105000.0,1664.002084102622,5.021193435188165,3.221414781454172
-69,31,,,,
-69,33,3300.0,448.2617859215296,3.5186455243303114,2.6524994792001406
-69,35,6500.0,103.00965282540041,3.8129801660394804,2.0170736467436727
-69,37,1.0,0.015847638896215446,0.3010299956639812,0.006828575518196916
-69,39,1071136.5,16974.98446055608,6.02984522401422,4.229834969013802
-69,41,14000.0,1901.7166675458834,4.1461590556048185,3.2793741225578854
-69,43,,,,
-69,45,,,,
-69,47,,,,
-69,49,,,,
-69,51,,,,
-69,53,,,,
-69,55,,,,
-69,57,,,,
-69,59,,,,
-69,61,,,,
-69,63,,,,
-69,65,,,,
-69,67,,,,
-69,69,,,,
-69,71,,,,
-69,73,,,,
-69,75,0.003,4.7542916688646343e-05,0.001300933020418072,2.06471355628221e-05
-69,77,,,,
-69,79,,,,
-69,81,,,,
-69,83,,,,
-69,85,,,,
-69,87,,,,
-69,89,,,,
-69,91,,,,
-69,93,,,,
-69,95,,,,
-69,97,,,,
-69,99,,,,
-69,101,,,,
-69,103,,,,
-69,105,,,,
-69,107,,,,
-69,109,,,,
-69,111,,,,
-69,113,,,,
-69,115,,,,
-69,117,,,,
-69,119,,,,
-69,121,,,,
-69,123,,,,
-69,125,,,,
-69,127,,,,
-69,129,,,,
-69,131,,,,
-69,133,,,,
-69,135,,,,
-69,137,,,,
-69,139,,,,
-69,141,,,,
-69,143,,,,
-69,145,,,,
-69,147,,,,
-69,149,,,,
-69,151,,,,
-69,153,,,,
-69,155,,,,
-69,157,,,,
-69,159,,,,
-69,161,,,,
-69,163,,,,
-69,165,,,,
-69,167,,,,
-69,169,,,,
-69,171,,,,
-69,173,,,,
-69,175,,,,
-69,177,,,,
-69,179,,,,
-67,-179,,,,
-67,-177,,,,
-67,-175,,,,
-67,-173,,,,
-67,-171,,,,
-67,-169,,,,
-67,-167,,,,
-67,-165,,,,
-67,-163,,,,
-67,-161,,,,
-67,-159,,,,
-67,-157,,,,
-67,-155,,,,
-67,-153,,,,
-67,-151,,,,
-67,-149,,,,
-67,-147,,,,
-67,-145,,,,
-67,-143,,,,
-67,-141,,,,
-67,-139,,,,
-67,-137,,,,
-67,-135,,,,
-67,-133,,,,
-67,-131,,,,
-67,-129,,,,
-67,-127,,,,
-67,-125,,,,
-67,-123,,,,
-67,-121,,,,
-67,-119,,,,
-67,-117,,,,
-67,-115,,,,
-67,-113,,,,
-67,-111,,,,
-67,-109,,,,
-67,-107,,,,
-67,-105,,,,
-67,-103,,,,
-67,-101,,,,
-67,-99,,,,
-67,-97,,,,
-67,-95,,,,
-67,-93,,,,
-67,-91,,,,
-67,-89,,,,
-67,-87,,,,
-67,-85,,,,
-67,-83,,,,
-67,-81,,,,
-67,-79,,,,
-67,-77,,,,
-67,-75,,,,
-67,-73,,,,
-67,-71,,,,
-67,-69,3250.0,47.239057034752214,3.5120169694961265,1.683398809733124
-67,-67,258050.0,29353.939266985824,5.411705546388495,4.467681186194173
-67,-65,,,,
-67,-63,,,,
-67,-61,,,,
-67,-59,,,,
-67,-57,23000.0,334.30717286132335,4.361746717975897,2.525442843917256
-67,-55,,,,
-67,-53,,,,
-67,-51,,,,
-67,-49,,,,
-67,-47,,,,
-67,-45,,,,
-67,-43,,,,
-67,-41,,,,
-67,-39,,,,
-67,-37,,,,
-67,-35,,,,
-67,-33,,,,
-67,-31,,,,
-67,-29,,,,
-67,-27,,,,
-67,-25,,,,
-67,-23,,,,
-67,-21,,,,
-67,-19,,,,
-67,-17,,,,
-67,-15,,,,
-67,-13,,,,
-67,-11,,,,
-67,-9,,,,
-67,-7,,,,
-67,-5,,,,
-67,-3,,,,
-67,-1,,,,
-67,1,,,,
-67,3,400.11,5.815636649284525,2.603263489432861,0.833506429555453
-67,5,16030.053,232.99833474987716,4.204962049931802,2.3692127667626526
-67,7,2.1,0.030523698391686047,0.4913616938342727,0.013057983463506947
-67,9,,,,
-67,11,,,,
-67,13,,,,
-67,15,75.0,1.0901320854173586,1.8808135922807914,0.32017373211837896
-67,17,18.3,0.26599222884183554,1.2855573090077739,0.10243103981919785
-67,19,,,,
-67,21,,,,
-67,23,10.0,0.1453509447223145,1.0413926851582251,0.05893857838213485
-67,25,,,,
