latitude,longitude,krill_adult_log,UpTiertile_P,nb_krill_m2_log,UpTiertile_B,label,Upper_tiertile
-77,-179,0.57452,0.0,,,1.0,0
-77,-177,0.81818,0.0,,,1.0,0
-77,-175,1.00264,0.0,,,1.0,0
-77,-173,0.99747,0.0,,,1.0,0
-77,-171,1.14972,0.0,,,1.0,0
-77,-169,1.29619,0.0,,,1.0,0
-77,-167,1.50482,0.0,,,1.0,0
-77,-165,1.56044,0.0,,,1.0,0
-77,-163,2.06832,1.0,,,3.0,1
-77,-161,1.9584,1.0,,,3.0,1
-77,-159,1.85831,1.0,,,3.0,1
-77,-157,1.69158,1.0,,,3.0,1
-77,-155,1.92561,1.0,,,3.0,1
-77,-153,2.10277,1.0,,,3.0,1
-77,-151,2.5344,1.0,,,3.0,1
-77,-53,2.90302,1.0,,,3.0,1
-77,-51,2.59145,1.0,,,3.0,1
-77,-49,2.39679,1.0,0.0,0.0,2.0,0
-77,-47,2.36873,1.0,0.0,0.0,2.0,0
-77,-45,2.37169,1.0,0.0,0.0,2.0,0
-77,-43,2.31412,1.0,0.1543022196846644,0.0,2.0,0
-77,-41,2.24043,1.0,0.1543022196846644,0.0,2.0,0
-77,-39,2.34653,1.0,0.1543022196846644,0.0,2.0,0
-77,-37,2.12491,1.0,0.0,0.0,2.0,0
-77,-35,2.31856,1.0,0.0,0.0,2.0,0
-77,-33,2.22547,1.0,0.0,0.0,2.0,0
-77,-31,2.4055,1.0,,,3.0,1
-77,-29,2.22796,1.0,,,3.0,1
-77,163,1.68109,1.0,,,3.0,1
-77,165,1.56044,0.0,,,1.0,0
-77,167,1.71017,1.0,,,3.0,1
-77,169,1.87734,1.0,,,3.0,1
-77,171,1.8323,1.0,,,3.0,1
-77,173,1.40877,0.0,,,1.0,0
-77,175,1.25585,0.0,,,1.0,0
-77,177,0.96193,0.0,,,1.0,0
-75,-179,1.08086,0.0,,,1.0,0
-75,-177,1.38079,0.0,,,1.0,0
-75,-175,1.51197,0.0,,,1.0,0
-75,-173,1.53273,0.0,,,1.0,0
-75,-171,1.70495,1.0,,,3.0,1
-75,-169,1.77526,1.0,,,3.0,1
-75,-167,1.72622,1.0,,,3.0,1
-75,-165,1.71033,1.0,,,3.0,1
-75,-163,1.70886,1.0,,,3.0,1
-75,-161,1.60376,1.0,,,3.0,1
-75,-159,1.61087,1.0,,,3.0,1
-75,-157,1.55533,0.0,,,1.0,0
-75,-155,1.57465,0.0,,,1.0,0
-75,-153,1.80131,1.0,,,3.0,1
-75,-151,1.90386,1.0,,,3.0,1
-75,-149,2.15718,1.0,,,3.0,1
-75,-147,2.15136,1.0,,,3.0,1
-75,-145,2.18672,1.0,,,3.0,1
-75,-143,2.21065,1.0,,,3.0,1
-75,-141,2.46474,1.0,,,3.0,1
-75,-139,2.44452,1.0,,,3.0,1
-75,-137,2.75732,1.0,,,3.0,1
-75,-135,2.54839,1.0,,,3.0,1
-75,-133,2.51845,1.0,,,3.0,1
-75,-109,2.41057,1.0,,,3.0,1
-75,-107,3.22576,1.0,,,3.0,1
-75,-105,3.14434,1.0,,,3.0,1
-75,-61,2.68815,1.0,0.0,0.0,2.0,0
-75,-59,2.19417,1.0,0.0,0.0,2.0,0
-75,-57,2.2505,1.0,0.0,0.0,2.0,0
-75,-55,2.24452,1.0,0.0,0.0,2.0,0
-75,-53,2.45569,1.0,0.0,0.0,2.0,0
-75,-51,2.42056,1.0,0.0,0.0,2.0,0
-75,-49,2.42195,1.0,0.0174128015176818,0.0,2.0,0
-75,-47,2.43358,1.0,0.0174128015176818,0.0,2.0,0
-75,-45,2.41282,1.0,0.0174128015176818,0.0,2.0,0
-75,-43,2.40791,1.0,,,3.0,1
-75,-41,2.32823,1.0,,,3.0,1
-75,-39,2.33058,1.0,,,3.0,1
-75,-37,2.33947,1.0,0.0,0.0,2.0,0
-75,-35,2.3337,1.0,0.0,0.0,2.0,0
-75,-33,2.2559,1.0,0.0,0.0,2.0,0
-75,-31,2.25677,1.0,0.1752218003430523,0.0,2.0,0
-75,-29,2.21131,1.0,0.1752218003430523,0.0,2.0,0
-75,-27,2.03356,1.0,0.1752218003430523,0.0,2.0,0
-75,-25,1.81575,1.0,,,3.0,1
-75,167,1.79667,1.0,,,3.0,1
-75,169,1.95216,1.0,,,3.0,1
-75,171,1.92719,1.0,,,3.0,1
-75,173,1.88611,1.0,,,3.0,1
-75,175,1.77518,1.0,,,3.0,1
-75,177,1.59945,1.0,,,3.0,1
-73,-179,1.42879,0.0,,,1.0,0
-73,-177,1.55057,0.0,,,1.0,0
-73,-175,1.65792,1.0,,,3.0,1
-73,-173,1.62782,1.0,,,3.0,1
-73,-171,1.70983,1.0,,,3.0,1
-73,-169,1.64788,1.0,,,3.0,1
-73,-167,1.56159,0.0,,,1.0,0
-73,-165,1.37659,0.0,,,1.0,0
-73,-163,1.30124,0.0,,,1.0,0
-73,-161,1.35341,0.0,,,1.0,0
-73,-159,1.29869,0.0,,,1.0,0
-73,-157,1.14016,0.0,,,1.0,0
-73,-155,1.3081,0.0,,,1.0,0
-73,-153,1.2904,0.0,,,1.0,0
-73,-151,1.50624,0.0,,,1.0,0
-73,-149,1.64302,1.0,,,3.0,1
-73,-147,1.68396,1.0,,,3.0,1
-73,-145,1.70328,1.0,,,3.0,1
-73,-143,1.79433,1.0,,,3.0,1
-73,-141,1.81689,1.0,,,3.0,1
-73,-139,1.88396,1.0,,,3.0,1
-73,-137,2.15961,1.0,,,3.0,1
-73,-135,2.01021,1.0,,,3.0,1
-73,-133,2.24575,1.0,,,3.0,1
-73,-131,2.39252,1.0,,,3.0,1
-73,-129,2.49333,1.0,,,3.0,1
-73,-127,2.63915,1.0,,,3.0,1
-73,-125,2.94655,1.0,,,3.0,1
-73,-123,2.83318,1.0,,,3.0,1
-73,-121,2.61659,1.0,0.0,0.0,2.0,0
-73,-119,2.56595,1.0,0.0,0.0,2.0,0
-73,-117,2.40678,1.0,0.0,0.0,2.0,0
-73,-115,2.56423,1.0,,,3.0,1
-73,-113,2.42594,1.0,,,3.0,1
-73,-111,2.31853,1.0,,,3.0,1
-73,-109,2.47806,1.0,,,3.0,1
-73,-107,2.52238,1.0,,,3.0,1
-73,-105,2.37749,1.0,,,3.0,1
-73,-95,4.01051,1.0,,,3.0,1
-73,-93,2.25399,1.0,,,3.0,1
-73,-91,3.2044,1.0,,,3.0,1
-73,-89,3.59782,1.0,,,3.0,1
-73,-87,3.29233,1.0,,,3.0,1
-73,-85,3.44251,1.0,,,3.0,1
-73,-83,3.23424,1.0,,,3.0,1
-73,-81,3.54706,1.0,,,3.0,1
-73,-79,3.1391,1.0,,,3.0,1
-73,-77,3.21158,1.0,,,3.0,1
-73,-75,3.5369,1.0,,,3.0,1
-73,-61,2.33806,1.0,0.0,0.0,2.0,0
-73,-59,1.49179,0.0,0.0,0.0,1.0,0
-73,-57,2.05378,1.0,0.0,0.0,2.0,0
-73,-55,2.30179,1.0,,,3.0,1
-73,-53,2.33621,1.0,,,3.0,1
-73,-51,2.32882,1.0,,,3.0,1
-73,-49,2.2895,1.0,,,3.0,1
-73,-47,2.33445,1.0,,,3.0,1
-73,-45,2.32009,1.0,,,3.0,1
-73,-43,2.41103,1.0,,,3.0,1
-73,-41,2.32007,1.0,,,3.0,1
-73,-39,2.27741,1.0,,,3.0,1
-73,-37,2.32823,1.0,,,3.0,1
-73,-35,2.3482,1.0,,,3.0,1
-73,-33,2.31183,1.0,,,3.0,1
-73,-31,2.31198,1.0,,,3.0,1
-73,-29,2.29718,1.0,,,3.0,1
-73,-27,2.23403,1.0,,,3.0,1
-73,-25,2.08077,1.0,1.4082272416543176,1.0,3.0,1
-73,-23,1.98914,1.0,1.4082272416543176,1.0,3.0,1
-73,-21,1.96531,1.0,1.4082272416543176,1.0,3.0,1
-73,-19,2.13489,1.0,,,3.0,1
-73,167,1.28112,0.0,,,1.0,0
-73,169,1.88753,1.0,,,3.0,1
-73,171,2.05204,1.0,,,3.0,1
-73,173,1.97303,1.0,0.0,0.0,2.0,0
-73,175,1.80776,1.0,0.0,0.0,2.0,0
-73,177,1.56641,0.0,0.0,0.0,1.0,0
-73,179,,,0.0,0.0,1.0,0
-71,-179,1.61169,1.0,,,3.0,1
-71,-177,1.55139,0.0,,,1.0,0
-71,-175,1.50515,0.0,0.071022382715183,0.0,1.0,0
-71,-173,1.46315,0.0,0.071022382715183,0.0,1.0,0
-71,-171,1.31159,0.0,0.071022382715183,0.0,1.0,0
-71,-169,1.31214,0.0,,,1.0,0
-71,-167,1.2266,0.0,,,1.0,0
-71,-165,1.26562,0.0,,,1.0,0
-71,-163,1.13539,0.0,,,1.0,0
-71,-161,1.16238,0.0,,,1.0,0
-71,-159,1.22666,0.0,,,1.0,0
-71,-157,1.10164,0.0,,,1.0,0
-71,-155,1.20168,0.0,,,1.0,0
-71,-153,1.16794,0.0,,,1.0,0
-71,-151,1.17674,0.0,,,1.0,0
-71,-149,1.25489,0.0,,,1.0,0
-71,-147,1.23982,0.0,,,1.0,0
-71,-145,1.18543,0.0,0.0,0.0,1.0,0
-71,-143,1.22819,0.0,0.0,0.0,1.0,0
-71,-141,1.17375,0.0,0.0,0.0,1.0,0
-71,-139,1.20751,0.0,,,1.0,0
-71,-137,1.17824,0.0,,,1.0,0
-71,-135,1.22676,0.0,,,1.0,0
-71,-133,1.26042,0.0,,,1.0,0
-71,-131,1.41972,0.0,,,1.0,0
-71,-129,1.77569,1.0,,,3.0,1
-71,-127,1.94323,1.0,,,3.0,1
-71,-125,2.11069,1.0,,,3.0,1
-71,-123,2.22147,1.0,,,3.0,1
-71,-121,2.18038,1.0,0.0205684348013626,0.0,2.0,0
-71,-119,2.12232,1.0,0.0205684348013626,0.0,2.0,0
-71,-117,2.15226,1.0,0.0205684348013626,0.0,2.0,0
-71,-115,1.93152,1.0,,,3.0,1
-71,-113,2.01262,1.0,,,3.0,1
-71,-111,2.09033,1.0,,,3.0,1
-71,-109,2.03216,1.0,,,3.0,1
-71,-107,2.01932,1.0,,,3.0,1
-71,-105,1.96275,1.0,,,3.0,1
-71,-103,2.24584,1.0,,,3.0,1
-71,-101,2.33649,1.0,,,3.0,1
-71,-99,2.84733,1.0,,,3.0,1
-71,-97,3.04147,1.0,,,3.0,1
-71,-95,2.98706,1.0,,,3.0,1
-71,-93,2.64802,1.0,,,3.0,1
-71,-91,2.63914,1.0,,,3.0,1
